Program	Code	Mnemonic	Summary	Severity	HelpLink
C# Compiler	CS0261	PartialTypeKindConflict	Partial declarations of 'type' must be all classes, all structs, or all interfaces	Error	https://msdn.microsoft.com/en-us/library/k7c6c0ff(v=vs.90).aspx
C# Compiler	CS0262	PartialModifierConflict	Partial declarations of 'type' have conflicting accessibility modifiers	Error	https://msdn.microsoft.com/en-us/library/tfc6d9ss(v=vs.90).aspx
C# Compiler	CS0263	PartialMultipleBases	Partial declarations of 'type' must not specify different base classes	Error	https://msdn.microsoft.com/en-us/library/b2w478hh(v=vs.90).aspx
C# Compiler	CS0264	PartialWrongTypeParams	Partial declarations of 'type' must have the same type parameter names in the same order	Error	https://msdn.microsoft.com/en-us/library/fscs4a6d(v=vs.90).aspx
C# Compiler	CS0265	PartialWrongConstraints	Partial declarations of 'type' have inconsistent constraints for type parameter 'type parameter'	Error	https://msdn.microsoft.com/en-us/library/hex8b7kx(v=vs.90).aspx
C# Compiler	CS0266	NoImplicitConvCast	Cannot implicitly convert type 'type1' to 'type2'. An explicit conversion exists (are you missing a cast?)	Error	https://msdn.microsoft.com/en-us/library/5z8wb9e4(v=vs.90).aspx
C# Compiler	CS0267	PartialMisplaced	The partial modifier can only appear immediately before 'class', 'struct', or 'interface'	Error	https://msdn.microsoft.com/en-us/library/d3414617(v=vs.90).aspx
C# Compiler	CS0268	ImportedCircularBase	Imported type 'type' is invalid. It contains a circular base class dependency.	Error	https://msdn.microsoft.com/en-us/library/sfksc17z(v=vs.90).aspx
C# Compiler	CS0269	UseDefViolationOut	Use of unassigned out parameter 'parameter'	Error	https://msdn.microsoft.com/en-us/library/sw37bca4(v=vs.90).aspx
C# Compiler	CS0270	ArraySizeInDeclaration	Array size cannot be specified in a variable declaration (try initializing with a 'new' expression)	Error	https://msdn.microsoft.com/en-us/library/s0y2932y(v=vs.90).aspx
C# Compiler	CS0271	InaccessibleGetter	The property or indexer 'property/indexer' cannot be used in this context because the get accessor is inaccessible	Error	https://msdn.microsoft.com/en-us/library/w503ca1y(v=vs.90).aspx
C# Compiler	CS0272	InaccessibleSetter	The property or indexer 'property/indexer' cannot be used in this context because the set accessor is inaccessible	Error	https://msdn.microsoft.com/en-us/library/y440c85a(v=vs.90).aspx
